日期,类型,金额 (元),一级分类,二级分类,备注
2026-08-10,支出,25.50,餐饮,午餐,公司食堂
2026-08-10,支出,12.00,交通,公交,上班公交
2026-08-10,支出,45.00,餐饮,晚餐,和朋友吃饭
2026-08-10,收入,8500.00,工资,工资,8月份工资
2026-08-09,支出,8.00,通讯,话费,话费充值
2026-08-09,支出,35.00,餐饮,零食,奶茶+蛋糕
2026-08-09,支出,18.00,餐饮,早餐,早餐
2026-08-08,支出,68.00,购物,服装,T恤
2026-08-08,支出,22.00,交通,地铁,通勤
2026-08-08,支出,15.00,娱乐,电影,电影票
2026-08-07,支出,5.00,通讯,网费,宽带续费
2026-08-07,支出,280.00,住房,房租,房租
2026-08-07,收入,200.00,投资,基金,基金定投收益
2026-08-06,支出,156.00,购物,数码,蓝牙耳机
2026-08-06,支出,88.00,教育,书籍,《三体》套装
2026-08-05,支出,45.00,住房,水电,电费
2026-08-05,支出,30.00,交通,打车,打车回家
2026-08-05,收入,500.00,兼职,兼职,周末兼职收入
2026-08-04,支出,120.00,教育,课程,在线课程
2026-08-04,支出,65.00,娱乐,游戏,游戏充值
2026-08-03,支出,200.00,医疗,药品,感冒药
2026-08-03,支出,99.00,娱乐,旅行,景点门票
2026-08-02,支出,15.00,购物,日用品,抽纸
2026-08-02,支出,56.00,交通,打车,打车
2026-08-01,支出,38.00,交通,共享单车,共享单车月卡
2026-08-01,支出,75.00,购物,日用品,洗衣液
